city,latitude,longitude,cityFIPS7,county,countyPrimary_igfi,countyPrimary,countyFIPS5,stateName,type
Coppock,41.1622416,-91.7112781,1916140,Henry,x,x,19087,Iowa,
Coppock,41.1622416,-91.7112781,1916140,Jefferson,,,19101,Iowa,
Coppock,41.1622416,-91.7112781,1916140,Washington,,,19183,Iowa,
Coralville,41.6822756,-91.5960643,1916230,Johnson,x,,19103,Iowa,
Corley,41.577316,-95.328552,1916320,Shelby,x,,19165,Iowa,CDP
Corning,40.9869306,-94.7335843,1916500,Adams,x,,19003,Iowa,
Alta,42.6749812,-95.3041656,1901495,Buena Vista,x,,19021,Iowa,
Correctionville,42.4749887,-95.785565,1916545,Woodbury,x,,19193,Iowa,
Corwith,42.9927444,-93.9574516,1916590,Hancock,x,,19081,Iowa,
Corydon,40.7569499,-93.3188229,1916635,Wayne,x,,19185,Iowa,
Cotter,41.2919675,-91.4615474,1916725,Louisa,x,,19115,Iowa,
Coulter,42.7338336,-93.3698768,1916815,Franklin,x,,19069,Iowa,
Council Bluffs,41.2619444,-95.8608333,1916860,Pottawattamie,x,,19155,Iowa,
Craig,42.8958224,-96.3097474,1916950,Plymouth,x,,19149,Iowa,
Crawfordsville,41.2139905,-91.5387401,1917130,Washington,x,,19183,Iowa,
Crescent,41.364996,-95.8580668,1917175,Pottawattamie,x,,19155,Iowa,
Cresco,43.3813568,-92.1140547,1917220,Howard,x,,19089,Iowa,
Alta Vista,43.1985819,-92.4171216,1901540,Chickasaw,x,,19037,Iowa,
Creston,41.0586002,-94.3613474,1917265,Union,x,,19175,Iowa,
Cromwell,41.0394328,-94.4619067,1917490,Union,x,,19175,Iowa,
Crystal Lake,43.2232917,-93.7924434,1917670,Hancock,x,,19081,Iowa,
Cumberland,41.2741551,-94.8702606,1917760,Cass,x,,19029,Iowa,
Cumming,41.4833235,-93.7624442,1917850,Warren,x,,19181,Iowa,
Curlew,42.9787614,-94.7368076,1917895,Palo Alton,x,,19147,Iowa,
Cushing,42.4647099,-95.6750061,1917940,Woodbury,x,,19193,Iowa,
Cylinder,43.0886601,-94.5514827,1917985,Palo Alton,x,,19147,Iowa,
Dakota City,42.7221935,-94.1971836,1918075,Humboldt,x,,19091,Iowa,
Dallas Center,41.6843456,-93.9611859,1918255,Dallas,x,,19049,Iowa,
Alton,42.9874869,-96.0105735,1901585,Sioux,x,,19167,Iowa,
Dana,42.1072857,-94.2389006,1918345,Greene,x,,19073,Iowa,
Danbury,42.2341562,-95.7222265,1918390,Woodbury,x,,19193,Iowa,
Danville,40.8643403,-91.3146139,1918435,Des Moines,x,,19057,Iowa,
Davenport,41.5236437,-90.5776367,1919000,Scott,x,,19163,Iowa,
Davis City,40.6391684,-93.8116131,1919090,Decatur,x,,19053,Iowa,
Dawson,41.8426501,-94.2221108,1919135,Dallas,x,,19049,Iowa,
Dayton,42.2613645,-94.0685672,1919180,Webster,x,,19187,Iowa,
De Soto,41.5315745,-94.0077785,1921045,Dallas,x,,19049,Iowa,
De Witt,41.8239952,-90.5389662,1921180,Clinton,x,,19045,Iowa,
Decatur City,40.7419443,-93.8338346,1919360,Decatur,x,,19053,Iowa,
Altoona,41.6435514,-93.4750836,1901630,Polk,x,,19153,Iowa,
Decorah,43.3033056,-91.7857092,1919405,Winneshiek,x,,19191,Iowa,
Dedham,41.9061833,-94.8222153,1919450,Carroll,x,,19027,Iowa,
Deep River,41.5802811,-92.3749066,1919495,Poweshiek,x,,19157,Iowa,
Defiance,41.8249876,-95.3386094,1919585,Shelby,x,,19165,Iowa,
Delaware,42.4752682,-91.3454214,1919630,Delaware,x,,19055,Iowa,
Delhi,42.4297143,-91.3309789,1919675,Delaware,x,,19055,Iowa,
